Coletor;Rep. 1;Qtde passadas;Bitola;Largura pneu;Num do coletor central;Coletor central
Col. 1;1;1;47;0;0;P
Col. 2;2,333333333;1;47;0;0;P
Col. 3;3,666666667;1;47;0;0;P
Col. 4;5;1;47;0;0;P
Col. 5;7,666666667;1;47;0;0;P
Col. 6;10,33333333;1;47;0;0;P
Col. 7;13;1;47;0;0;P
Col. 8;20,33333333;1;47;0;0;P
Col. 9;27,66666667;1;47;0;0;P
Col. 10;35;1;47;0;0;P
Col. 11;36,5;1;47;0;0;P
Col. 12;38;1;47;0;0;P
Col. 13;39,5;1;47;0;0;P
Col. 14;41;1;47;0;0;P
Col. 15;42,5;1;47;0;0;P
Col. 16;44;1;47;0;0;P
Col. 17;46;1;47;0;0;P
Col. 18;48;1;47;0;0;P
Col. 19;50;1;47;0;0;P
Col. 20;52;1;47;0;0;P
Col. 21;54;1;47;0;0;P
Col. 22;56;1;47;0;0;P
Col. 23;47,33333333;1;47;0;0;P
Col. 24;38,66666667;1;47;0;0;P
Col. 25;30;1;47;0;0;P
Col. 26;23,66666667;1;47;0;0;P
Col. 27;17,33333333;1;47;0;0;P
Col. 28;11;1;47;0;0;P
Col. 29;9;1;47;0;0;P
Col. 30;7;1;47;0;0;P
Col. 31;5;1;47;0;0;P
Col. 32;4;1;47;0;0;P
Col. 33;3;1;47;0;0;P
Col. 34;2;1;47;0;0;P
Col. 35;1,666666667;1;47;0;0;P
Col. 36;1,333333333;1;47;0;0;P
Col. 37;1;1;47;0;0;P
